x,Line2
0,34.5
1,35.7
2,36.9
3,38.1
4,39.3
5,40.5
6,41.7
7,42.9
8,44.1
9,45.3
10,46.5
11,47.7
12,48.9
13,50.1
14,51.3
15,52.5
16,53.7
17,54.9
18,56.1
19,57.3
20,58.5
21,59.7
22,60.9
23,62.1
24,63.3
25,64.5
26,65.7
27,66.9
28,68.1
29,69.3
30,70.5
31,71.7
32,72.9
33,74.1
34,75.3
35,76.5
36,77.7
37,78.9
38,80.1
39,81.3
40,82.5
41,83.7
42,84.9
43,86.1
44,87.3
45,88.5
46,89.7
47,90.9
48,92.1
49,93.3
50,94.5
51,95.7
52,96.9
53,98.1
54,99.3
55,100.5
56,101.7
57,102.9
58,104.1
59,105.3
60,106.5
61,107.7
62,108.9
63,110.1
64,111.3
65,112.5
66,113.7
67,114.9
68,116.1
69,117.3
70,118.5
71,119.7
72,120.9
73,122.1
74,123.3
75,124.5
76,125.7
77,126.9
78,128.1
79,129.3
80,130.5
81,131.7
82,132.9
83,134.1
84,135.3
85,136.5
86,137.7
87,138.9
88,140.1
89,141.3
90,142.5
91,143.7
92,144.9
93,146.1
94,147.3
95,148.5
96,149.7
97,150.9
98,152.1
99,153.3
